;;;;Champion;NAME S1;;S1I1;S1I2;S1I3;NAME S2;;S2I1;S2I2;S2I3;NAME S3;;S3I1;S3I2;S3I3;ID S1I1;ID S1I2;ID S1I3;CONC;ID S2I1;ID S2I2;ID S2I3;CONC;ID S3I1;ID S3I2;ID S3I3;CONC;CODE_EN;JSON_EN;CODE_PT;JSON_PT;;
;;;;Aatrox;"""Life Steal / Magic Resistance / Buffer (Remove CC)""";"""Roubo de Vida / Resistência Mágica / Buffer (Remove Controles de Grupo)""";Hextech Gunblade;Dragon's Claw;Quicksilver;"""Life Steal / Magic Resistance / Revive""";"""Roubo de Vida / Resistência Mágica / Reviver""";Hextech Gunblade;Dragon's Claw;Guardian Angel;"""Life Steal / HP Regeneration / Magic Resistance""";"""Roubo de Vida / Regeneração de Vida / Resistência Mágica""";Hextech Gunblade;Warmog's Armor;Dragon's Claw;13;66;69;[13,66,69];13;66;15;[13,66,15];13;77;66;[13,77,66];"""bestSets"": [
        {
          ""name"": ""Life Steal / Magic Resistance / Buffer (Remove CC)"",
          ""items"": [13,66,69]
        },
        {
          ""name"": ""Life Steal / Magic Resistance / Revive"",
          ""items"": [13,66,15]
        },
        {
          ""name"": ""Life Steal / HP Regeneration / Magic Resistance"",
          ""items"": [13,77,66]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Life Steal / Magic Resistance / Buffer (Remove CC)"",
          ""items"": [13,66,69]
        },
        {
          ""name"": ""Life Steal / Magic Resistance / Revive"",
          ""items"": [13,66,15]
        },
        {
          ""name"": ""Life Steal / HP Regeneration / Magic Resistance"",
          ""items"": [13,77,66]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Roubo de Vida / Resistência Mágica / Buffer (Remove Controles de Grupo)"",
          ""items"": [13,66,69]
        },
        {
          ""name"": ""Roubo de Vida / Resistência Mágica / Reviver"",
          ""items"": [13,66,15]
        },
        {
          ""name"": ""Roubo de Vida / Regeneração de Vida / Resistência Mágica"",
          ""items"": [13,77,66]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Roubo de Vida / Resistência Mágica / Buffer (Remove Controles de Grupo)"",
          ""items"": [13,66,69]
        },
        {
          ""name"": ""Roubo de Vida / Resistência Mágica / Reviver"",
          ""items"": [13,66,15]
        },
        {
          ""name"": ""Roubo de Vida / Regeneração de Vida / Resistência Mágica"",
          ""items"": [13,77,66]
        }
      ]";P1;"""bestSets"": [
        {
          ""name"": "
;;;;Ahri;"""Chance to Spell Crit / Attack Speed / Splash Damage""";"""Chance dos Feitiços darem dano Crítico / Velocidade de Ataque / Dano em área""";Jeweled Gauntlet;Guinsoo's Rageblade;Luden's Echo;"""Splash Damage / Attack Speed / Splash Damage""";"""Dano em área / Velocidade de Ataque / Dano em área""";Statikk Shiv;Guinsoo's Rageblade;Luden's Echo;"""Mana Generation / Attack Speed / Ability Damage""";"""Geração de Mana / Velocidade de Ataque / Dano de Habilidade""";Spear of Shojin;Guinsoo's Rageblade;Rabadon's Deathcap;39;23;34;[39,23,34];24;23;34;[24,23,34];14;23;33;[14,23,33];"""bestSets"": [
        {
          ""name"": ""Chance to Spell Crit / Attack Speed / Splash Damage"",
          ""items"": [39,23,34]
        },
        {
          ""name"": ""Splash Damage / Attack Speed / Splash Damage"",
          ""items"": [24,23,34]
        },
        {
          ""name"": ""Mana Generation / Attack Speed / Ability Damage"",
          ""items"": [14,23,33]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Chance to Spell Crit / Attack Speed / Splash Damage"",
          ""items"": [39,23,34]
        },
        {
          ""name"": ""Splash Damage / Attack Speed / Splash Damage"",
          ""items"": [24,23,34]
        },
        {
          ""name"": ""Mana Generation / Attack Speed / Ability Damage"",
          ""items"": [14,23,33]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Chance dos Feitiços darem dano Crítico / Velocidade de Ataque / Dano em área"",
          ""items"": [39,23,34]
        },
        {
          ""name"": ""Dano em área / Velocidade de Ataque / Dano em área"",
          ""items"": [24,23,34]
        },
        {
          ""name"": ""Geração de Mana / Velocidade de Ataque / Dano de Habilidade"",
          ""items"": [14,23,33]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Chance dos Feitiços darem dano Crítico / Velocidade de Ataque / Dano em área"",
          ""items"": [39,23,34]
        },
        {
          ""name"": ""Dano em área / Velocidade de Ataque / Dano em área"",
          ""items"": [24,23,34]
        },
        {
          ""name"": ""Geração de Mana / Velocidade de Ataque / Dano de Habilidade"",
          ""items"": [14,23,33]
        }
      ]";P2;
;;;;Akali;"""Mana Generation / Critical Damage / Critical Chance / Attack Damage / Life on Hit""";"""Geração de Mana / Dano Crítico / Chance de Crítico / Dano de Ataque / Vida ao acertar""";Seraph's Embrace;Infinity Edge;Hand of Justice;"""Mana Generation / Life Steal / Magic Resistance""";"""Geração de Mana / Roubo de Vida / Resistência Mágica""";Seraph's Embrace;Hextech Gunblade;Dragon's Claw;"""Mana Generation / Critical Damage / Critical Chance / Ability Damage""";"""Geração de Mana / Dano Crítico / Chance de Crítico / Dano de Habilidade""";Seraph's Embrace;Infinity Edge;Rabadon's Deathcap;44;19;49;[44,19,49];44;13;66;[44,13,66];44;19;33;[44,19,33];"""bestSets"": [
        {
          ""name"": ""Mana Generation / Critical Damage / Critical Chance / Attack Damage / Life on Hit"",
          ""items"": [44,19,49]
        },
        {
          ""name"": ""Mana Generation / Life Steal / Magic Resistance"",
          ""items"": [44,13,66]
        },
        {
          ""name"": ""Mana Generation / Critical Damage / Critical Chance / Ability Damage"",
          ""items"": [44,19,33]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Mana Generation / Critical Damage / Critical Chance / Attack Damage / Life on Hit"",
          ""items"": [44,19,49]
        },
        {
          ""name"": ""Mana Generation / Life Steal / Magic Resistance"",
          ""items"": [44,13,66]
        },
        {
          ""name"": ""Mana Generation / Critical Damage / Critical Chance / Ability Damage"",
          ""items"": [44,19,33]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Geração de Mana / Dano Crítico / Chance de Crítico / Dano de Ataque / Vida ao acertar"",
          ""items"": [44,19,49]
        },
        {
          ""name"": ""Geração de Mana / Roubo de Vida / Resistência Mágica"",
          ""items"": [44,13,66]
        },
        {
          ""name"": ""Geração de Mana / Dano Crítico / Chance de Crítico / Dano de Habilidade"",
          ""items"": [44,19,33]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Geração de Mana / Dano Crítico / Chance de Crítico / Dano de Ataque / Vida ao acertar"",
          ""items"": [44,19,49]
        },
        {
          ""name"": ""Geração de Mana / Roubo de Vida / Resistência Mágica"",
          ""items"": [44,13,66]
        },
        {
          ""name"": ""Geração de Mana / Dano Crítico / Chance de Crítico / Dano de Habilidade"",
          ""items"": [44,19,33]
        }
      ]";P3;",
          ""items"": "
;;;;Anivia;"""Mana Generation / Mana Generation / Burn Damage / Debuffer (Prevent Heal)""";"""Geração de Mana / Geração de Mana / Dano de Queimadura / Debuffer (Previne Cura)""";Seraph's Embrace;Seraph's Embrace;Morellonomicon;"""Mana Generation / Chance to Spell Crit / Burn Damage / Debuffer (Prevent Heal)""";"""Geração de Mana / Chance dos Feitiços darem dano Crítico / Dano de Queimadura / Debuffer (Previne Cura)""";Seraph's Embrace;Jeweled Gauntlet;Morellonomicon;"""Burn Damage / Debuffer (Prevent Heal) / Ability Damage / Attack Speed""";"""Dano de Queimadura / Debuffer (Previne Cura) / Dano de Habilidade / Velocidade de Ataque""";Morellonomicon;Rabadon's Deathcap;Guinsoo's Rageblade;44;44;37;[44,44,37];44;39;37;[44,39,37];37;33;23;[37,33,23];"""bestSets"": [
        {
          ""name"": ""Mana Generation / Mana Generation / Burn Damage / Debuffer (Prevent Heal)"",
          ""items"": [44,44,37]
        },
        {
          ""name"": ""Mana Generation / Chance to Spell Crit / Burn Damage / Debuffer (Prevent Heal)"",
          ""items"": [44,39,37]
        },
        {
          ""name"": ""Burn Damage / Debuffer (Prevent Heal) / Ability Damage / Attack Speed"",
          ""items"": [37,33,23]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Mana Generation / Mana Generation / Burn Damage / Debuffer (Prevent Heal)"",
          ""items"": [44,44,37]
        },
        {
          ""name"": ""Mana Generation / Chance to Spell Crit / Burn Damage / Debuffer (Prevent Heal)"",
          ""items"": [44,39,37]
        },
        {
          ""name"": ""Burn Damage / Debuffer (Prevent Heal) / Ability Damage / Attack Speed"",
          ""items"": [37,33,23]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Geração de Mana / Geração de Mana / Dano de Queimadura / Debuffer (Previne Cura)"",
          ""items"": [44,44,37]
        },
        {
          ""name"": ""Geração de Mana / Chance dos Feitiços darem dano Crítico / Dano de Queimadura / Debuffer (Previne Cura)"",
          ""items"": [44,39,37]
        },
        {
          ""name"": ""Dano de Queimadura / Debuffer (Previne Cura) / Dano de Habilidade / Velocidade de Ataque"",
          ""items"": [37,33,23]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Geração de Mana / Geração de Mana / Dano de Queimadura / Debuffer (Previne Cura)"",
          ""items"": [44,44,37]
        },
        {
          ""name"": ""Geração de Mana / Chance dos Feitiços darem dano Crítico / Dano de Queimadura / Debuffer (Previne Cura)"",
          ""items"": [44,39,37]
        },
        {
          ""name"": ""Dano de Queimadura / Debuffer (Previne Cura) / Dano de Habilidade / Velocidade de Ataque"",
          ""items"": [37,33,23]
        }
      ]";P4;"
        },
        {
          ""name"": "
;;;;Ashe;"""Mirror Attack / Debuffer (Prevent Mana) / Attack Speed""";"""Ataque Espelhado / Debuffer (Impede de Ganhar mana) / Velocidade de Ataque""";Runaan's Hurricane;Hush;Guinsoo's Rageblade;"""Mana Generation / Critical Damage / Critical Chance / Attack Speed""";"""Geração de Mana / Dano Crítico / Chance de Crítico / Velocidade de Ataque""";Spear of Shojin;Infinity Edge;Guinsoo's Rageblade;"""Splash Damage / Splash Damage / Splash Damage""";"""Dano em área / Dano em área / Dano em área""";Statikk Shiv;Statikk Shiv;Statikk Shiv;68;46;23;[68,46,23];14;19;23;[14,19,23];24;24;24;[24,24,24];"""bestSets"": [
        {
          ""name"": ""Mirror Attack / Debuffer (Prevent Mana) / Attack Speed"",
          ""items"": [68,46,23]
        },
        {
          ""name"": ""Mana Generation / Critical Damage / Critical Chance / Attack Speed"",
          ""items"": [14,19,23]
        },
        {
          ""name"": ""Splash Damage / Splash Damage / Splash Damage"",
          ""items"": [24,24,24]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Mirror Attack / Debuffer (Prevent Mana) / Attack Speed"",
          ""items"": [68,46,23]
        },
        {
          ""name"": ""Mana Generation / Critical Damage / Critical Chance / Attack Speed"",
          ""items"": [14,19,23]
        },
        {
          ""name"": ""Splash Damage / Splash Damage / Splash Damage"",
          ""items"": [24,24,24]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Ataque Espelhado / Debuffer (Impede de Ganhar mana) / Velocidade de Ataque"",
          ""items"": [68,46,23]
        },
        {
          ""name"": ""Geração de Mana / Dano Crítico / Chance de Crítico / Velocidade de Ataque"",
          ""items"": [14,19,23]
        },
        {
          ""name"": ""Dano em área / Dano em área / Dano em área"",
          ""items"": [24,24,24]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Ataque Espelhado / Debuffer (Impede de Ganhar mana) / Velocidade de Ataque"",
          ""items"": [68,46,23]
        },
        {
          ""name"": ""Geração de Mana / Dano Crítico / Chance de Crítico / Velocidade de Ataque"",
          ""items"": [14,19,23]
        },
        {
          ""name"": ""Dano em área / Dano em área / Dano em área"",
          ""items"": [24,24,24]
        }
      ]";P5;
;;;;Aurelion Sol;"""Mana Generation / Attack Speed / Ability Damage""";"""Geração de Mana / Velocidade de Ataque / Dano de Habilidade""";Spear of Shojin;Guinsoo's Rageblade;Rabadon's Deathcap;"""Mana Generation / Mana Generation / Chance to Spell Crit""";"""Geração de Mana / Geração de Mana / Chance dos Feitiços darem dano Crítico""";Seraph's Embrace;Seraph's Embrace;Jeweled Gauntlet;"""Mana Generation / Mana Generation / Burn Damage / Debuffer (Prevent Heal)""";"""Geração de Mana / Geração de Mana / Dano de Queimadura / Debuffer (Previne Cura)""";Seraph's Embrace;Seraph's Embrace;Morellonomicon;14;23;33;[14,23,33];44;44;39;[44,44,39];44;44;37;[44,44,37];"""bestSets"": [
        {
          ""name"": ""Mana Generation / Attack Speed / Ability Damage"",
          ""items"": [14,23,33]
        },
        {
          ""name"": ""Mana Generation / Mana Generation / Chance to Spell Crit"",
          ""items"": [44,44,39]
        },
        {
          ""name"": ""Mana Generation / Mana Generation / Burn Damage / Debuffer (Prevent Heal)"",
          ""items"": [44,44,37]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Mana Generation / Attack Speed / Ability Damage"",
          ""items"": [14,23,33]
        },
        {
          ""name"": ""Mana Generation / Mana Generation / Chance to Spell Crit"",
          ""items"": [44,44,39]
        },
        {
          ""name"": ""Mana Generation / Mana Generation / Burn Damage / Debuffer (Prevent Heal)"",
          ""items"": [44,44,37]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Geração de Mana / Velocidade de Ataque / Dano de Habilidade"",
          ""items"": [14,23,33]
        },
        {
          ""name"": ""Geração de Mana / Geração de Mana / Chance dos Feitiços darem dano Crítico"",
          ""items"": [44,44,39]
        },
        {
          ""name"": ""Geração de Mana / Geração de Mana / Dano de Queimadura / Debuffer (Previne Cura)"",
          ""items"": [44,44,37]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Geração de Mana / Velocidade de Ataque / Dano de Habilidade"",
          ""items"": [14,23,33]
        },
        {
          ""name"": ""Geração de Mana / Geração de Mana / Chance dos Feitiços darem dano Crítico"",
          ""items"": [44,44,39]
        },
        {
          ""name"": ""Geração de Mana / Geração de Mana / Dano de Queimadura / Debuffer (Previne Cura)"",
          ""items"": [44,44,37]
        }
      ]";P6;",
          ""items"": "
;;;;Blitzcrank;"""Attack Speed / Mana Generation / Ability Damage""";"""Velocidade de Ataque / Geração de Mana / Dano de Habilidade""";Guinsoo's Rageblade;Spear of Shojin;Rabadon's Deathcap;"""Magic Resistance / Debuffer (Slow) / Buffer (Attack Speed)""";"""Resistência Mágica / Debuffer (Lentidão) / Buffer (Velocidade de Ataque)""";Dragon's Claw;Frozen Heart;Zeke's Herald;"""HP Regeneration / Splash Damage / Attack Speed""";"""Regeneração de Vida / Dano em área / Velocidade de Ataque""";Warmog's Armor;Titanic Hydra;Guinsoo's Rageblade;23;14;33;[23,14,33];66;45;17;[66,45,17];77;27;23;[77,27,23];"""bestSets"": [
        {
          ""name"": ""Attack Speed / Mana Generation / Ability Damage"",
          ""items"": [23,14,33]
        },
        {
          ""name"": ""Magic Resistance / Debuffer (Slow) / Buffer (Attack Speed)"",
          ""items"": [66,45,17]
        },
        {
          ""name"": ""HP Regeneration / Splash Damage / Attack Speed"",
          ""items"": [77,27,23]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Attack Speed / Mana Generation / Ability Damage"",
          ""items"": [23,14,33]
        },
        {
          ""name"": ""Magic Resistance / Debuffer (Slow) / Buffer (Attack Speed)"",
          ""items"": [66,45,17]
        },
        {
          ""name"": ""HP Regeneration / Splash Damage / Attack Speed"",
          ""items"": [77,27,23]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Velocidade de Ataque / Geração de Mana / Dano de Habilidade"",
          ""items"": [23,14,33]
        },
        {
          ""name"": ""Resistência Mágica / Debuffer (Lentidão) / Buffer (Velocidade de Ataque)"",
          ""items"": [66,45,17]
        },
        {
          ""name"": ""Regeneração de Vida / Dano em área / Velocidade de Ataque"",
          ""items"": [77,27,23]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Velocidade de Ataque / Geração de Mana / Dano de Habilidade"",
          ""items"": [23,14,33]
        },
        {
          ""name"": ""Resistência Mágica / Debuffer (Lentidão) / Buffer (Velocidade de Ataque)"",
          ""items"": [66,45,17]
        },
        {
          ""name"": ""Regeneração de Vida / Dano em área / Velocidade de Ataque"",
          ""items"": [77,27,23]
        }
      ]";P7;"
        },
        {
          ""name"": "
;;;;Brand;"""Mana Generation / Attack Speed / Ability Damage""";"""Geração de Mana / Velocidade de Ataque / Dano de Habilidade""";Spear of Shojin;Guinsoo's Rageblade;Rabadon's Deathcap;"""Ability Damage / Life Steal / Attack Speed""";"""Dano de Habilidade / Roubo de Vida / Velocidade de Ataque""";Rabadon's Deathcap;Hextech Gunblade;Guinsoo's Rageblade;"""Chance to Spell Crit / Attack Speed / Ability Damage""";"""Chance dos Feitiços darem dano Crítico / Velocidade de Ataque / Dano de Habilidade""";Jeweled Gauntlet;Guinsoo's Rageblade;Rabadon's Deathcap;14;23;33;[14,23,33];33;13;23;[33,13,23];39;23;33;[39,23,33];"""bestSets"": [
        {
          ""name"": ""Mana Generation / Attack Speed / Ability Damage"",
          ""items"": [14,23,33]
        },
        {
          ""name"": ""Ability Damage / Life Steal / Attack Speed"",
          ""items"": [33,13,23]
        },
        {
          ""name"": ""Chance to Spell Crit / Attack Speed / Ability Damage"",
          ""items"": [39,23,33]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Mana Generation / Attack Speed / Ability Damage"",
          ""items"": [14,23,33]
        },
        {
          ""name"": ""Ability Damage / Life Steal / Attack Speed"",
          ""items"": [33,13,23]
        },
        {
          ""name"": ""Chance to Spell Crit / Attack Speed / Ability Damage"",
          ""items"": [39,23,33]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Geração de Mana / Velocidade de Ataque / Dano de Habilidade"",
          ""items"": [14,23,33]
        },
        {
          ""name"": ""Dano de Habilidade / Roubo de Vida / Velocidade de Ataque"",
          ""items"": [33,13,23]
        },
        {
          ""name"": ""Chance dos Feitiços darem dano Crítico / Velocidade de Ataque / Dano de Habilidade"",
          ""items"": [39,23,33]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Geração de Mana / Velocidade de Ataque / Dano de Habilidade"",
          ""items"": [14,23,33]
        },
        {
          ""name"": ""Dano de Habilidade / Roubo de Vida / Velocidade de Ataque"",
          ""items"": [33,13,23]
        },
        {
          ""name"": ""Chance dos Feitiços darem dano Crítico / Velocidade de Ataque / Dano de Habilidade"",
          ""items"": [39,23,33]
        }
      ]";P8;
;;;;Braum;"""Reflect Damage / Reflect Damage / HP Regeneration""";"""Reflete Dano / Reflete Dano / Regeneração de Vida""";Thornmail;Thornmail;Warmog's Armor;"""Reflect Damage / Debuffer (attack speed) / HP Regeneration""";"""Reflete Dano / Debuffer (velocidade de ataque) / Regeneração de Vida""";Thornmail;Iceborn Gauntlet;Warmog's Armor;"""Debuffer (Slow) / Buffer (Shield) / Buffer (Attack Speed)""";"""Debuffer (Lentidão) / Buffer (Escudo) / Buffer (Velocidade de Ataque)""";Frozen Heart;Locket of the Iron Solari;Zeke's Herald;55;55;77;[55,55,77];55;59;77;[55,59,77];45;35;17;[45,35,17];"""bestSets"": [
        {
          ""name"": ""Reflect Damage / Reflect Damage / HP Regeneration"",
          ""items"": [55,55,77]
        },
        {
          ""name"": ""Reflect Damage / Debuffer (attack speed) / HP Regeneration"",
          ""items"": [55,59,77]
        },
        {
          ""name"": ""Debuffer (Slow) / Buffer (Shield) / Buffer (Attack Speed)"",
          ""items"": [45,35,17]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Reflect Damage / Reflect Damage / HP Regeneration"",
          ""items"": [55,55,77]
        },
        {
          ""name"": ""Reflect Damage / Debuffer (attack speed) / HP Regeneration"",
          ""items"": [55,59,77]
        },
        {
          ""name"": ""Debuffer (Slow) / Buffer (Shield) / Buffer (Attack Speed)"",
          ""items"": [45,35,17]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Reflete Dano / Reflete Dano / Regeneração de Vida"",
          ""items"": [55,55,77]
        },
        {
          ""name"": ""Reflete Dano / Debuffer (velocidade de ataque) / Regeneração de Vida"",
          ""items"": [55,59,77]
        },
        {
          ""name"": ""Debuffer (Lentidão) / Buffer (Escudo) / Buffer (Velocidade de Ataque)"",
          ""items"": [45,35,17]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Reflete Dano / Reflete Dano / Regeneração de Vida"",
          ""items"": [55,55,77]
        },
        {
          ""name"": ""Reflete Dano / Debuffer (velocidade de ataque) / Regeneração de Vida"",
          ""items"": [55,59,77]
        },
        {
          ""name"": ""Debuffer (Lentidão) / Buffer (Escudo) / Buffer (Velocidade de Ataque)"",
          ""items"": [45,35,17]
        }
      ]";P9;",
          ""items"": "
;;;;Camille;"""Life Steal / Magic Resistance / Revive""";"""Roubo de Vida / Resistência Mágica / Reviver""";The Bloodthirster;Dragon's Claw;Guardian Angel;"""Attack Speed / Critical Damage / Critical Chance / Life Steal""";"""Velocidade de Ataque / Dano Crítico / Chance de Crítico / Roubo de Vida""";Guinsoo's Rageblade;Infinity Edge;The Bloodthirster;"""Attack Speed / Critical Damage / Critical Chance / Attack Damage / Life on Hit""";"""Velocidade de Ataque / Dano Crítico / Chance de Crítico / Dano de Ataque / Vida ao acertar""";Guinsoo's Rageblade;Infinity Edge;Hand of Justice;16;66;15;[16,66,15];23;19;16;[23,19,16];23;19;49;[23,19,49];"""bestSets"": [
        {
          ""name"": ""Life Steal / Magic Resistance / Revive"",
          ""items"": [16,66,15]
        },
        {
          ""name"": ""Attack Speed / Critical Damage / Critical Chance / Life Steal"",
          ""items"": [23,19,16]
        },
        {
          ""name"": ""Attack Speed / Critical Damage / Critical Chance / Attack Damage / Life on Hit"",
          ""items"": [23,19,49]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Life Steal / Magic Resistance / Revive"",
          ""items"": [16,66,15]
        },
        {
          ""name"": ""Attack Speed / Critical Damage / Critical Chance / Life Steal"",
          ""items"": [23,19,16]
        },
        {
          ""name"": ""Attack Speed / Critical Damage / Critical Chance / Attack Damage / Life on Hit"",
          ""items"": [23,19,49]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Roubo de Vida / Resistência Mágica / Reviver"",
          ""items"": [16,66,15]
        },
        {
          ""name"": ""Velocidade de Ataque / Dano Crítico / Chance de Crítico / Roubo de Vida"",
          ""items"": [23,19,16]
        },
        {
          ""name"": ""Velocidade de Ataque / Dano Crítico / Chance de Crítico / Dano de Ataque / Vida ao acertar"",
          ""items"": [23,19,49]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Roubo de Vida / Resistência Mágica / Reviver"",
          ""items"": [16,66,15]
        },
        {
          ""name"": ""Velocidade de Ataque / Dano Crítico / Chance de Crítico / Roubo de Vida"",
          ""items"": [23,19,16]
        },
        {
          ""name"": ""Velocidade de Ataque / Dano Crítico / Chance de Crítico / Dano de Ataque / Vida ao acertar"",
          ""items"": [23,19,49]
        }
      ]";P10;"
        }
      ]"
