ITEM,ID,IMAGEM,,Champion,NAME S1,DESCR S1,S1I1,S1I2,S1I3,NAME S2,DESCR S2,S2I1,S2I2,S2I3,NAME S3,DESCR S3,S3I1,S3I2,S3I3,ID S1I1,ID S1I2,ID S1I3,CONC,ID S2I1,ID S2I2,ID S2I3,CONC,ID S3I1,ID S3I2,ID S3I3,CONC,CODE,Tabulado,,,
B. F. Sword,1,,,Aatrox,"""Life Steal / Survivability""","""Item set focused on life steal from attacks and ability and survivability (high magic resistance)""",Hextech Gunblade,Dragon's Claw,Phantom Dancer,"""Survivability / Debuffer""","""Item set focused on survivability and debuff enemies""",Frozen Heart,Phantom Dancer,Dragon's Claw,"""Life Steal / Survivability / Life regeneration""","""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)""",Hextech Gunblade,Warmog's Armor,Dragon's Claw,13,66,25,"[13,66,25]",45,25,66,"[45,25,66]",13,77,66,"[13,77,66]","""bestSets"": [
        {
          ""name"": ""Life Steal / Survivability"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (high magic resistance)"",
          ""items"": [13,66,25]
        },
        {
          ""name"": ""Survivability / Debuffer"",
          ""description"": ""Item set focused on survivability and debuff enemies"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Life Steal / Survivability"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (high magic resistance)"",
          ""items"": [13,66,25]
        },
        {
          ""name"": ""Survivability / Debuffer"",
          ""description"": ""Item set focused on survivability and debuff enemies"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]",,P1,"""bestSets"": [
        {
          ""name"": "
Blade of the Ruined King,28,,,Ahri,"""Splash Damage / Attack Speed""","""Item set focused on Attack and Spell Splash Damage and attack speed""",Statikk Shiv,Guinsoo's Rageblade,Luden's Echo,"""Splash Damage / Spell Damage / Attack Speed""","""Item set focused on attack speed, splash damage and spell damage, besides mana on combat's start""",Luden's Echo,Guinsoo's Rageblade,Spear of Shojin,"""Ability Damage /  Mana Generation / Attack Speed""","""Item set focused on spell / ability damage, mana generation and attack speed""",Spear of Shojin,Guinsoo's Rageblade,Rabadon's Deathcap,24,23,34,"[24,23,34]",34,23,14,"[34,23,14]",14,23,33,"[14,23,33]","""bestSets"": [
        {
          ""name"": ""Splash Damage / Attack Speed"",
          ""description"": ""Item set focused on Attack and Spell Splash Damage and attack speed"",
          ""items"": [24,23,34]
        },
        {
          ""name"": ""Splash Damage / Spell Damage / Attack Speed"",
          ""description"": ""Item set focused on attack speed, splash damage and spell damage, besides mana on combat's start"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Splash Damage / Attack Speed"",
          ""description"": ""Item set focused on Attack and Spell Splash Damage and attack speed"",
          ""items"": [24,23,34]
        },
        {
          ""name"": ""Splash Damage / Spell Damage / Attack Speed"",
          ""description"": ""Item set focused on attack speed, splash damage and spell damage, besides mana on combat's start"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]",,P2,",
          ""description"": "
Chain Vest,5,,,Akali,"""Mana Generation / Ability Damage"" ","""Item set focused on mana generation, spell / ability damage and some survivability""",Seraph's Embrace,Phantom Dancer,Rabadon's Deathcap,"""Mana Generation / Ability Damage"" ","""Item set focused on strong mana generation and spell / ability damage""",Seraph's Embrace,Spear of Shojin,Rabadon's Deathcap,"""Mana Generation / Critical Damage / Ability Damage"" ","""Item set focused on mana generation, spell / ability damage and extra critical damage""",Seraph's Embrace,Infinity Edge,Rabadon's Deathcap,44,25,33,"[44,25,33]",44,14,33,"[44,14,33]",44,11,33,"[44,11,33]","""bestSets"": [
        {
          ""name"": ""Mana Generation / Ability Damage"" ,
          ""description"": ""Item set focused on mana generation, spell / ability damage and some survivability"",
          ""items"": [44,25,33]
        },
        {
          ""name"": ""Mana Generation / Ability Damage"" ,
          ""description"": ""Item set focused on strong mana generation and spell / ability damage"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Mana Generation / Ability Damage"" ,
          ""description"": ""Item set focused on mana generation, spell / ability damage and some survivability"",
          ""items"": [44,25,33]
        },
        {
          ""name"": ""Mana Generation / Ability Damage"" ,
          ""description"": ""Item set focused on strong mana generation and spell / ability damage"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]",,P3,",
          ""items"": "
Cursed Blade,26,,,Anivia,"""Mana Generation / Burn""","""Item set focused on strong mana mana generation and spell burn damage""",Seraph's Embrace,Seraph's Embrace,Morellonomicon,"""Ability Damage /  Attack Speed / Burn Damage"" ","""Item set focused on spell / ability damage, attack speed and burn damage on spells""",Morellonomicon,Rabadon's Deathcap,Guinsoo's Rageblade,"""Ability Damage /  Mana Generation / Attack Speed""","""Item set focused on spell / ability damage, mana generation and attack speed""",Spear of Shojin,Guinsoo's Rageblade,Rabadon's Deathcap,44,44,37,"[44,44,37]",37,33,23,"[37,33,23]",14,23,33,"[14,23,33]","""bestSets"": [
        {
          ""name"": ""Mana Generation / Burn"",
          ""description"": ""Item set focused on strong mana mana generation and spell burn damage"",
          ""items"": [44,44,37]
        },
        {
          ""name"": ""Ability Damage /  Attack Speed / Burn Damage"" ,
          ""description"": ""Item set focused on spell / ability damage, attack speed and burn damage on spells"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Mana Generation / Burn"",
          ""description"": ""Item set focused on strong mana mana generation and spell burn damage"",
          ""items"": [44,44,37]
        },
        {
          ""name"": ""Ability Damage /  Attack Speed / Burn Damage"" ,
          ""description"": ""Item set focused on spell / ability damage, attack speed and burn damage on spells"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]",,P4,"
        },
        {
          ""name"": "
Darkin,48,,,Ashe,"""Splash Damage / Attack Speed""","""Item set focused on attack speed and splash damage on attack""",Statikk Shiv,Statikk Shiv,Statikk Shiv,"""Mana Generation / Attack Speed""","""Item set focused on strong mana generation, attack damage and attack speed""",Spear of Shojin,Spear of Shojin,Rapid Firecannon,"""Splash Damage / Mana Generation / Attack Speed""","""Item set focused on splash damage, mana generation and attack speed""",Statikk Shiv,Seraph's Embrace,Guinsoo's Rageblade,24,24,24,"[24,24,24]",14,14,22,"[14,14,22]",24,44,23,"[24,44,23]","""bestSets"": [
        {
          ""name"": ""Splash Damage / Attack Speed"",
          ""description"": ""Item set focused on attack speed and splash damage on attack"",
          ""items"": [24,24,24]
        },
        {
          ""name"": ""Mana Generation / Attack Speed"",
          ""description"": ""Item set focused on strong mana generation, attack damage and attack speed"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Splash Damage / Attack Speed"",
          ""description"": ""Item set focused on attack speed and splash damage on attack"",
          ""items"": [24,24,24]
        },
        {
          ""name"": ""Mana Generation / Attack Speed"",
          ""description"": ""Item set focused on strong mana generation, attack damage and attack speed"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]",,P5,",
          ""description"": "
Dragon's Claw,66,,,Aurelion Sol,"""Mana Generation / Burn Damage"" ","""Item set focused on and mana generation and burn damage on spell""",Spear of Shojin,Spear of Shojin,Morellonomicon,"""Ability Damage /  Attack Speed / Mana Generation"" ","""Item set focused on spell / ability damage, attack speed and mana generation""",Spear of Shojin,Rabadon's Deathcap,Guinsoo's Rageblade,"""Mana Generation / Burn""","""Item set focused on strong mana mana generation and spell burn damage""",Seraph's Embrace,Seraph's Embrace,Morellonomicon,14,14,37,"[14,14,37]",14,33,23,"[14,33,23]",44,44,37,"[44,44,37]","""bestSets"": [
        {
          ""name"": ""Mana Generation / Burn Damage"" ,
          ""description"": ""Item set focused on and mana generation and burn damage on spell"",
          ""items"": [14,14,37]
        },
        {
          ""name"": ""Ability Damage /  Attack Speed / Mana Generation"" ,
          ""description"": ""Item set focused on spell / ability damage, attack speed and mana generation"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Mana Generation / Burn Damage"" ,
          ""description"": ""Item set focused on and mana generation and burn damage on spell"",
          ""items"": [14,14,37]
        },
        {
          ""name"": ""Ability Damage /  Attack Speed / Mana Generation"" ,
          ""description"": ""Item set focused on spell / ability damage, attack speed and mana generation"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]",,P6,",
          ""items"": "
Force of Nature,88,,,Blitzcrank,"""Ability Damage /  Attack Speed / Mana Generation"" ","""Item set focused on spell / ability damage, attack speed and mana generation""",Guinsoo's Rageblade,Spear of Shojin,Rabadon's Deathcap,"""Survivability / Buffer / Debbufer""","""Item set focused on survivability, buff allies and debuff enemies""",Dragon's Claw,Frozen Heart,Zeke's Herald,"""Survivability / Splash Damage / Attack Speed""","""Item set focused on survivability (max HP and HP regeneration) and max HP splash damage""",Warmog's Armor,Titanic Hydra,Guinsoo's Rageblade,23,14,33,"[23,14,33]",66,45,17,"[66,45,17]",77,27,23,"[77,27,23]","""bestSets"": [
        {
          ""name"": ""Ability Damage /  Attack Speed / Mana Generation"" ,
          ""description"": ""Item set focused on spell / ability damage, attack speed and mana generation"",
          ""items"": [23,14,33]
        },
        {
          ""name"": ""Survivability / Buffer / Debbufer"",
          ""description"": ""Item set focused on survivability, buff allies and debuff enemies"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Ability Damage /  Attack Speed / Mana Generation"" ,
          ""description"": ""Item set focused on spell / ability damage, attack speed and mana generation"",
          ""items"": [23,14,33]
        },
        {
          ""name"": ""Survivability / Buffer / Debbufer"",
          ""description"": ""Item set focused on survivability, buff allies and debuff enemies"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]",,P7,"
        },
        {
          ""name"": "
Frozen Heart,45,,,Brand,"""Ability Damage /  Attack Speed / Mana Generation"" ","""Item set focused on spell / ability damage, attack speed and mana generation""",Spear of Shojin,Guinsoo's Rageblade,Rabadon's Deathcap,"""Ability Damage / Attack Speed / Life steal""","""Item set focused on spell / ability damage, attack speed and life steal""",Rabadon's Deathcap,Hextech Gunblade,Guinsoo's Rageblade,"""Ability Damage / Mana Generation / Burn Damage / Debuffer""","""Item set focused on spell / ability damage, mana generation and burn damage on spell cast, besides prevent healing""",Rabadon's Deathcap,Seraph's Embrace,Morellonomicon,14,23,33,"[14,23,33]",33,13,23,"[33,13,23]",33,44,37,"[33,44,37]","""bestSets"": [
        {
          ""name"": ""Ability Damage /  Attack Speed / Mana Generation"" ,
          ""description"": ""Item set focused on spell / ability damage, attack speed and mana generation"",
          ""items"": [14,23,33]
        },
        {
          ""name"": ""Ability Damage / Attack Speed / Life steal"",
          ""description"": ""Item set focused on spell / ability damage, attack speed and life steal"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Ability Damage /  Attack Speed / Mana Generation"" ,
          ""description"": ""Item set focused on spell / ability damage, attack speed and mana generation"",
          ""items"": [14,23,33]
        },
        {
          ""name"": ""Ability Damage / Attack Speed / Life steal"",
          ""description"": ""Item set focused on spell / ability damage, attack speed and life steal"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]",,P8,",
          ""description"": "
Frozen Mallet,78,,,Braum,"""Survivability / Reflect Damage / Life Regeneration""","""Item set focused on survivability (max HP and HP regeneration), armor and reflect damage""",Thornmail,Thornmail,Warmog's Armor,"""Survivability / Buffer / Debuffer / Disable""","""Item set focused on survivability, buff allies, debuff enemies and disable one enemy on start of combat""",Zeke's Herald,Zephyr,Locket of the Iron Solari,"""Survivability / Buffer / Debuffer""","""Item set focused on survivability, buff allies and  debuff enemies""",Frozen Heart,Locket of the Iron Solari,Zeke's Herald,55,55,77,"[55,55,77]",17,67,35,"[17,67,35]",45,35,17,"[45,35,17]","""bestSets"": [
        {
          ""name"": ""Survivability / Reflect Damage / Life Regeneration"",
          ""description"": ""Item set focused on survivability (max HP and HP regeneration), armor and reflect damage"",
          ""items"": [55,55,77]
        },
        {
          ""name"": ""Survivability / Buffer / Debuffer / Disable"",
          ""description"": ""Item set focused on survivability, buff allies, debuff enemies and disable one enemy on start of combat"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Survivability / Reflect Damage / Life Regeneration"",
          ""description"": ""Item set focused on survivability (max HP and HP regeneration), armor and reflect damage"",
          ""items"": [55,55,77]
        },
        {
          ""name"": ""Survivability / Buffer / Debuffer / Disable"",
          ""description"": ""Item set focused on survivability, buff allies, debuff enemies and disable one enemy on start of combat"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]",,P9,",
          ""items"": "
Giant's Belt,7,,,Camille,"""Survivability / Life Steal""","""Item set focused on survivability, life steal on attack, magic resistance and immunity to critical damage""",The Bloodthirster,Dragon's Claw,Phantom Dancer,"""Attack Speed / Life Steal""","""Item set focused on strong attack speed, attack range and life steal""",Guinsoo's Rageblade,Rapid Firecannon,The Bloodthirster,"""Attack Speed / Critical Damage / Spell Damage""","""Item set focused on strong attack speed, critical damage and spell damage""",Guinsoo's Rageblade,Infinity Edge,Rapid Firecannon,16,66,25,"[16,66,25]",23,22,16,"[23,22,16]",23,11,22,"[23,11,22]","""bestSets"": [
        {
          ""name"": ""Survivability / Life Steal"",
          ""description"": ""Item set focused on survivability, life steal on attack, magic resistance and immunity to critical damage"",
          ""items"": [16,66,25]
        },
        {
          ""name"": ""Attack Speed / Life Steal"",
          ""description"": ""Item set focused on strong attack speed, attack range and life steal"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Survivability / Life Steal"",
          ""description"": ""Item set focused on survivability, life steal on attack, magic resistance and immunity to critical damage"",
          ""items"": [16,66,25]
        },
        {
          ""name"": ""Attack Speed / Life Steal"",
          ""description"": ""Item set focused on strong attack speed, attack range and life steal"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]",,P10,"
        }
      ]"
